dataset;method;SA;MRE;Runtime
5;2;0.534687;0.668285;0.024527
5;3;0.554634;0.686901;8.641092
5;1;0.393427;0.273780;0.023170
5;2;0.235669;0.219018;0.024384
5;3;0.591198;0.144851;8.382081
5;1;2.045292;-0.316751;0.023270
5;2;0.041916;0.889022;0.024499
5;3;0.545156;0.148225;8.468210
5;1;1.754349;-0.500845;0.023187
5;2;0.395652;0.524998;0.024421
5;3;0.633004;0.554078;8.457438
5;1;1.022342;0.548137;0.023120
5;2;0.624324;0.602678;0.024364
5;3;0.379681;0.788847;8.431744
5;1;1.578080;-0.007010;0.023252
5;2;0.308333;0.763499;0.024490
5;3;0.210214;0.835296;8.524762
5;1;2.211922;0.125492;0.024161
5;2;0.587601;0.418127;0.025464
5;3;0.277213;0.544508;8.486112
5;1;2.581928;0.370639;0.023659
5;2;0.470588;0.747098;0.024897
5;3;1.162184;0.595719;8.657383
5;1;1.288894;-0.088301;0.023562
5;2;0.832518;0.396160;0.024808
5;3;0.423557;0.652245;8.916381
5;1;1.129994;0.647079;0.023611
5;2;0.928008;0.735697;0.024843
5;3;0.479843;0.698954;8.802058
5;1;0.422441;0.405850;0.023552
5;2;0.534687;0.647891;0.024781
5;3;0.479345;0.628330;8.673944
5;1;0.393427;0.250668;0.023473
5;2;0.235669;0.204043;0.024720
5;3;0.592450;0.185019;8.659735
5;1;2.045292;-0.502549;0.023557
5;2;0.041916;0.863476;0.024787
5;3;0.434060;0.652750;8.388061
5;1;1.754349;-0.600851;0.030723
5;2;0.395652;0.479877;0.032451
5;3;0.242155;0.432301;8.607836
5;1;1.022342;0.398729;0.023587
5;2;0.624324;0.645122;0.024850
5;3;0.437477;0.720342;8.568268
5;1;1.578080;0.070520;0.023849
5;2;0.308333;0.791359;0.025100
5;3;0.478656;0.553342;8.753678
5;1;2.211922;0.079816;0.023290
5;2;0.587601;0.418645;0.024535
5;3;0.378881;0.820768;8.698961
5;1;2.581928;0.316642;0.023354
5;2;0.470588;0.747262;0.024617
5;3;0.839034;0.613235;8.969067
5;1;1.288894;-0.096598;0.023138
5;2;0.832518;0.339441;0.024368
5;3;0.496153;0.602968;8.902087
5;1;1.129994;0.647781;0.022958
5;2;0.928008;0.704195;0.024172
5;3;0.539103;0.706352;8.567425
5;1;0.422441;0.529152;0.023823
5;2;0.534687;0.586021;0.025083
5;3;0.637391;0.555965;8.609245
5;1;0.393427;0.206969;0.023137
5;2;0.235669;0.203688;0.024356
5;3;0.586677;0.299641;8.561619
5;1;2.045292;-0.399520;0.022983
5;2;0.041916;0.889374;0.024219
5;3;0.651115;0.459826;8.513238
5;1;1.754349;-0.796245;0.023349
5;2;0.395652;0.576987;0.024606
5;3;0.413308;0.733362;8.832899
5;1;1.022342;0.531894;0.023094
5;2;0.624324;0.641556;0.024363
5;3;1.227855;0.377154;8.504690
5;1;1.578080;0.008115;0.023181
5;2;0.308333;0.738920;0.024417
5;3;0.436057;0.617058;8.473008
5;1;2.211922;0.222693;0.023116
5;2;0.587601;0.487183;0.024336
5;3;0.505902;0.465659;8.779287
5;1;2.581928;0.310698;0.023387
5;2;0.470588;0.768408;0.024658
5;3;0.312890;0.745366;8.629130
5;1;1.288894;0.033147;0.023026
5;2;0.832518;0.373626;0.024268
5;3;0.311130;0.617224;9.117078
5;1;1.129994;0.662065;0.023257
5;2;0.928008;0.752667;0.024503
5;3;0.341142;0.748376;9.018731
