dataset;method;SA;MRE;Runtime
1;2;0.776984;-0.390299;0.036477
1;3;0.420835;0.070172;16.365748
1;1;0.547883;0.234744;0.034134
1;2;0.398287;0.419312;0.036399
1;3;0.362324;0.479012;15.954061
1;1;0.170175;0.588918;0.034169
1;2;0.420374;0.352040;0.036416
1;3;0.336980;0.376544;16.540988
1;1;0.368598;0.476265;0.034884
1;2;0.482829;0.216092;0.037140
1;3;0.275361;0.599359;15.978532
1;1;0.434807;0.459238;0.034112
1;2;0.428422;0.320596;0.036407
1;3;0.319440;0.427725;16.785993
1;1;0.374432;0.402145;0.034315
1;2;0.263736;0.481443;0.036581
1;3;0.277776;0.457507;16.807069
1;1;1.151496;0.209237;0.034109
1;2;0.736842;0.280095;0.036331
1;3;0.270918;0.443220;16.110007
1;1;0.461306;0.565408;0.034275
1;2;0.332762;0.341582;0.036555
1;3;0.185750;0.617213;16.682763
1;1;0.736375;0.332386;0.034257
1;2;0.508633;0.402156;0.036494
1;3;0.396490;0.528676;16.322034
1;1;0.489227;0.362218;0.034215
1;2;0.583751;0.277065;0.036446
1;3;0.625509;0.442804;16.082044
1;1;0.319419;0.418483;0.034262
1;2;0.776984;-0.360693;0.036513
1;3;0.321196;0.251627;15.796770
1;1;0.547883;0.249317;0.034430
1;2;0.398287;0.432723;0.036659
1;3;0.180114;0.542882;16.274747
1;1;0.170175;0.571741;0.034119
1;2;0.420374;0.362826;0.036376
1;3;0.164236;0.624249;15.951291
1;1;0.368598;0.504713;0.034160
1;2;0.482829;0.188041;0.036416
1;3;0.279094;0.575918;16.354385
1;1;0.434807;0.472485;0.034315
1;2;0.428422;0.340094;0.036593
1;3;0.416607;0.399575;16.474783
1;1;0.374432;0.396294;0.034037
1;2;0.263736;0.482585;0.036285
1;3;0.277170;0.478999;16.005095
1;1;1.151496;0.186613;0.034259
1;2;0.736842;0.331581;0.036491
1;3;0.266247;0.574383;16.461233
1;1;0.461306;0.593694;0.034027
1;2;0.332762;0.356566;0.036279
1;3;0.332530;0.604290;15.843969
1;1;0.736375;0.364804;0.034244
1;2;0.508633;0.405217;0.036473
1;3;0.972303;0.320865;16.240794
1;1;0.489227;0.371658;0.034040
1;2;0.583751;0.258442;0.036274
1;3;0.612249;0.457292;16.538975
1;1;0.319419;0.435056;0.034018
1;2;0.776984;-0.411758;0.036241
1;3;0.518559;-0.005194;15.732376
1;1;0.547883;0.297474;0.034185
1;2;0.398287;0.395488;0.036417
1;3;0.335760;0.392869;16.276586
1;1;0.170175;0.577407;0.034329
1;2;0.420374;0.356394;0.036613
1;3;0.400543;0.195043;16.132185
1;1;0.368598;0.497125;0.034042
1;2;0.482829;0.198537;0.036260
1;3;0.239202;0.601488;16.301535
1;1;0.434807;0.447152;0.034342
1;2;0.428422;0.317564;0.036586
1;3;0.352496;0.422314;16.519881
1;1;0.374432;0.391997;0.034507
1;2;0.263736;0.479398;0.036813
1;3;0.412950;0.102825;16.143562
1;1;1.151496;0.211133;0.034284
1;2;0.736842;0.336233;0.036566
1;3;0.271834;0.527789;16.440442
1;1;0.461306;0.581508;0.034652
1;2;0.332762;0.345260;0.036904
1;3;0.370774;0.488681;15.694884
1;1;0.736375;0.372231;0.034263
1;2;0.508633;0.420616;0.036523
1;3;1.028258;0.153114;16.001004
1;1;0.489227;0.366893;0.034173
1;2;0.583751;0.288054;0.036437
1;3;0.589207;0.457225;16.108700
1;1;0.319419;0.436106;0.034059
1;2;0.776984;-0.403459;0.036273
1;3;0.323734;0.278012;16.427022
1;1;0.547883;0.260544;0.034551
1;2;0.398287;0.427945;0.036823
1;3;0.441471;0.310042;16.322112
1;1;0.170175;0.543102;0.034208
1;2;0.420374;0.353873;0.036515
1;3;0.199234;0.475468;16.101707
1;1;0.368598;0.508875;0.034356
1;2;0.482829;0.124997;0.036670
1;3;0.305498;0.588786;16.209649
1;1;0.434807;0.455609;0.034189
1;2;0.428422;0.327664;0.036387
1;3;0.349163;0.431315;17.164957
1;1;0.374432;0.442453;0.034367
1;2;0.263736;0.471860;0.036653
1;3;0.386478;0.354515;16.304248
1;1;1.151496;0.209473;0.034929
1;2;0.736842;0.275015;0.037259
1;3;0.394591;0.604129;16.586418
1;1;0.461306;0.598971;0.034359
1;2;0.332762;0.352281;0.036646
1;3;0.293531;0.586860;16.044387
1;1;0.736375;0.333530;0.034079
1;2;0.508633;0.393003;0.036289
1;3;0.535090;0.537098;16.576533
1;1;0.489227;0.387193;0.034154
1;2;0.583751;0.282818;0.036422
1;3;0.605166;0.490589;16.415235
1;1;0.319419;0.420496;0.034205
1;2;0.776984;-0.342855;0.036443
1;3;0.283138;0.262740;16.245546
1;1;0.547883;0.246950;0.033984
1;2;0.398287;0.441792;0.036244
1;3;0.403203;0.247249;16.039707
1;1;0.170175;0.586227;0.034071
1;2;0.420374;0.388848;0.036302
1;3;0.117303;0.678769;17.425453
1;1;0.368598;0.479317;0.034616
1;2;0.482829;0.165483;0.036893
1;3;0.283134;0.610168;16.351291
1;1;0.434807;0.424367;0.037634
1;2;0.428422;0.339221;0.040253
1;3;0.289878;0.376888;16.752833
1;1;0.374432;0.427909;0.034187
1;2;0.263736;0.464467;0.036420
1;3;0.258652;0.453463;16.375054
